OBJECTID,LEVEL3,Mask,Shape_Length,Shape_Area
1,10.1.1,Yes,1366819.112498376800000,52455281666.845352000000000
2,2.2.5,Yes,3183055.432955806600000,60639204768.738525000000000
3,2.2.6,Yes,1717174.857682739900000,7785688658.529410400000000
4,2.4.2,Yes,56327.494178922949000,56169209.730662450000000
5,2.4.3,Yes,29423.561289459096000,39186459.631097734000000
6,3.1.1,Yes,16957789.628799759000000,288453077056.498720000000000
7,3.1.2,Yes,6156449.701754411700000,101844844173.028780000000000
8,3.1.3,Yes,974767.233890071280000,33173178610.486988000000000
9,3.2.1,Yes,1585461.867610248700000,70827185375.037231000000000
10,3.2.2,Yes,2659711.044425478200000,158695449107.873200000000000
11,3.2.3,Yes,3375461.094137277500000,71512206181.931732000000000
12,3.3.1,No,4402896.098293882800000,332154997410.239010000000000
13,3.3.2,No,3930466.899271280000000,297251101479.684450000000000
14,3.4.1,No,3744338.135175783200000,376067185770.660830000000000
15,3.4.2,Yes,3821585.726071588700000,392520094684.062190000000000
16,3.4.3,Yes,8344890.371489264100000,248310954734.249450000000000
17,3.4.4,Yes,2979660.698660092000000,111549421084.759900000000000
18,3.4.5,No,4006431.740367024700000,253081769922.886630000000000
19,4.1.1,Yes,2893223.521823776400000,62370531157.267960000000000
20,4.1.2,No,5698978.213376998000000,309351488766.180110000000000
21,5.1.1,No,2914488.422869223200000,275309629252.912840000000000
22,5.1.2,No,3802708.825041383500000,226617445984.720580000000000
23,5.1.3,No,8555778.464858703300000,352972820962.970090000000000
24,5.1.4,Yes,6083355.812333040900000,111133874468.790570000000000
25,5.1.5,No,3761781.730022111400000,251850970993.053470000000000
26,5.1.6,No,3782580.684280459800000,270748485563.761110000000000
27,5.2.1,No,6099714.155712427600000,217933461347.322170000000000
28,5.2.2,No,1225597.905647705300000,32877419071.499424000000000
29,5.2.3,No,4162425.774276922900000,318026112400.963930000000000
30,5.3.1,No,8369184.911269111600000,230100932486.916810000000000
31,5.4.1,No,8082467.974375867300000,436359165153.124570000000000
32,5.4.2,No,4926596.550542948800000,121078514093.020310000000000
33,5.4.3,No,2450110.762261686800000,130836729665.290130000000000
34,6.1.1,Yes,6994587.476377038300000,152602599803.532350000000000
35,6.1.2,Yes,2977751.279390965600000,115850547180.359600000000000
36,6.1.3,Yes,986520.629325428980000,17153402913.633219000000000
37,6.1.4,Yes,1484127.244016672300000,52952680353.070175000000000
38,6.1.5,Yes,4309322.534168834800000,237705698300.443970000000000
39,6.1.6,Yes,3258995.297030122500000,168515095698.394070000000000
40,6.2.1,No,2883802.767200789400000,139420087592.434330000000000
41,6.2.2,Yes,2070556.315049168000000,104648226538.561040000000000
42,6.2.3,Yes,4034976.375153787400000,178711091686.152010000000000
43,6.2.4,Yes,3552726.910312654900000,104576356933.425610000000000
44,7.1.2,Yes,3643128.506798578400000,36249699190.984917000000000
45,7.1.3,Yes,1587752.283679685800000,27869412935.272469000000000
46,7.1.4,Yes,6112279.654091434600000,131436025012.861770000000000
47,7.1.5,Yes,6142525.424861595000000,28232780480.755280000000000
48,7.1.6,Yes,26001.272042818353000,5913690.964619766900000
49,8.1.1,No,8248076.669156045700000,146988792319.919220000000000
50,8.1.10,No,1284468.069246590400000,31029657183.392567000000000
51,8.1.2,No,1525828.276753930600000,25584400794.769894000000000
52,8.1.4,Yes,3693167.165635319400000,88528378661.075272000000000
53,8.1.8,No,4872994.386707463300000,97873585521.110382000000000
54,8.1.9,No,3255191.837535036700000,36163949366.571304000000000
55,8.2.2,Yes,56152.578959696475000,44344847.289202735000000
56,8.5.1,Yes,482094.170168379260000,665552894.507729770000000
57,9.2.1,Yes,6911318.039810738500000,326403439460.176760000000000
58,9.2.2,No,2281533.537812565000000,82657152693.057709000000000
59,Water,No,6062741.451435371300000,127055767326.644910000000000